id,postid,ticker,text,target_context,label,label_pred,score_pred,bucket,notes,label2
1,35401675,UNTR,"Kalau company nya bagus sih, pengendali atau ownernya juga berani ngebeliin barang terus. Indikatornya sih gtu, karena kalau pengendali sampe beli barang terus itu cost yang dia keluarin mahal. Jadi pasti mereka yakin barang murah, atau ada kepentingan.

 $UNTR 
 $AADI 
 $GGRM",kalau company nya bagus sih pengendali atau ownernya juga berani ngebeliin barang terus indikatornya sih gtu karena kalau pengendali sampe beli barang terus itu cost yang dia keluarin mahal jadi pasti mereka yakin barang murah atau ada kepentingan,bullish,bullish,1.0,bull_bear,,
2,35407221,UNTR,"$UNTR $IHSG
UNTR: BRI DANAREKSA PERTAHANKAN BUY, TARGET Rp30.600
Saham UNTR didorong sentimen positif revisi RKAB emiten tambang. BRI Danareksa Sekuritas (2/9/2026) pertahankan rekomendasi Buy, pandangan 3 bulan dinaikkan jadi Overweight.

Kinerja operasional (Juli 2026):
- Produksi batu bara PAMA: 13 juta ton (+10% MoM)
- Penjualan alat berat Komatsu: 399 unit (+31% MoM)
- Realisasi Jan-Jul: 65,2 juta ton (68% proyeksi FY26), alat berat 2.393 unit (59% proyeksi FY26)

Katalis positif:
- Revisi RKAB cenderung menaikkan kuota produksi tambang
- Cuaca lebih kering musiman → dukung produksi
- Kuota produksi tambang batu bara UNTR sendiri sudah disetujui

Risiko:
- Permukaan air Sungai Barito rendah → ganggu distribusi batu bara
- Penjualan batu bara sendiri lebih rendah dari estimasi
- Penurunan harga emas

Valuasi:P/E 12 bulan ke depan ~7,7x dinilai masih menarik, terutama karena kepemilikan investor domestik relatif rendah.",,neutral,neutral,0.0,bull_bear,repost laporan broker — repost = netral,neutral
3,35421519,UNTR,$UNTR september naik biasanya karena mau dividen..HOLD!,september naik biasanya karena mau dividen hold,bullish,bullish,1.0,bull_bear,,
4,35430584,UNTR,$UNTR gas gas gas,gas gas gas,bullish,neutral,0.0,no_hit,hype 'gas gas' gak kebaca lexicon,bullish
5,35442472,UNTR,"bertahun tahun holders $PTBA di PHPin
BLU batubara kemudian MIP yang gak ada ujungnya.

Sekarang dengan adanya BLU energi,
apakah kebijakannya bakal pro supplier domestik?

Will see...

Barito masih kering, semoga segera turun hujan di kalimantan.. Aamiinn

$AADI $UNTR",,neutral,neutral,0.0,bull_bear,,bearish
6,35443023,BBCA,$BBCA besok di banting ke 400,besok di banting ke 400,bearish,neutral,0.0,no_hit,ekspektasi dibanting,bearish
7,35443706,BBCA,$BBCA se uprit lagi yukk !,se uprit lagi yukk,bullish,neutral,0.0,no_hit,'uprit' = naik,bearish
8,35444245,BUMI,$BUMI gilaa bidnya di bikin tebel lagi di 208,gilaa bidnya di bikin tebel lagi di 208,bullish,neutral,0.0,no_hit,bid tebal = support,bullish
9,35444376,BUMI,$BUMI ini emiten kalo ara mah gila banget ya wkwkw 2-5% nya aja harus ngancurin lot sebanyak itu,ini emiten kalo ara mah gila banget ya wkwkw 2 5 nya aja harus ngancurin lot sebanyak itu,bullish,bullish,1.0,bull_bear,,
10,35444791,BBCA,"$BBCA ARAKAN SEKALI SEKALI NGAPA BANK SWASTA NI 
BANK DANAMON UDAH ARAH 
SINARMAS SUDAH 
ALLO UDAH 
TINGGAL BBCA DAN BTPS BANK SWASTA TERBESAR Yng tidak ara",arakan sekali sekali ngapa bank swasta ni bank danamon udah arah sinarmas sudah allo udah tinggal bbca dan btps bank swasta terbesar yng tidak ara,bullish,bullish,1.0,negation,,
