id,headline,summary,tickers,label,label_pred,denial_hits,matched_keywords,source,published,bucket,notes
1,IHSG berpotensi sideways di tengah pasar cermati global dan domestik,Indeks Harga Saham Gabungan (IHSG) Bursa Efek Indonesia (BEI) pada Senin berpotensi bergerak sideways (mendatar) di ...,,non_material,non_material,,,ANTARA Bursa,2026-09-07T02:34:37+00:00,plain,
2,"Bitcoin tertahan di 78.000 dolar, pasar menanti arus ETF dan The Fed","Bitcoin tertahan di kisaran 78.000 dolar Amerika Serikat (AS) per bitcoin, setelah gagal mempertahankan di level 80.000 ...",,non_material,non_material,,,ANTARA Finansial,2026-09-05T19:00:01+00:00,plain,
3,BSI perkuat ekosistem keuangan syariah di lingkungan pesantren,"PT Bank Syariah Indonesia (Persero) Tbk. (BSI) memperkuat kemandirian ekonomi umat melalui peningkatan literasi, ...",,non_material,non_material,,,ANTARA Finansial,2026-09-05T17:51:48+00:00,plain,
4,LPS jajaki skema relasi investor untuk selamatkan BPR/BPRS bermasalah,Lembaga Penjamin Simpanan (LPS) menjajaki skema relasi investor untuk menyelamatkan bank perekonomian rakyat (BPR) dan ...,,non_material,non_material,,,ANTARA Finansial,2026-09-05T07:01:25+00:00,plain,
5,LPS bidik penjaminan polis asuransi aktif pada 2027,Ketua Dewan Komisioner Lembaga Penjamin Simpanan (LPS) Anggito Abimanyu menargetkan Program Penjaminan Polis (PPP) ...,,non_material,non_material,,,ANTARA Finansial,2026-09-05T06:09:51+00:00,plain,
6,Rupiah melemah dipengaruhi geopolitik Timur Tengah,"Nilai tukar rupiah terhadap dolar AS pada pembukaan perdagangan Senin bergerak melemah 4 poin atau 0,02 persen menjadi ...",,non_material,non_material,,,ANTARA Finansial,2026-09-07T03:02:05+00:00,plain,
7,"IHSG Senin dibuka menguat 15,61 poin ke posisi 6.652","Indeks Harga Saham Gabungan (IHSG) Bursa Efek Indonesia (BEI) pada Senin pagi dibuka menguat 15,61 poin atau 0,24 ...",,non_material,non_material,,,ANTARA Bursa,2026-09-07T03:19:04+00:00,plain,
8,"BI: Cadev Agustus 2026 capai 146,5 miliar dolar, naik 1,2 miliar dolar","Bank Indonesia (BI) mencatat posisi cadangan devisa Indonesia pada akhir Agustus 2026 mencapai 146,5 miliar dolar AS, ...",,non_material,non_material,,,ANTARA Finansial,2026-09-07T03:44:04+00:00,plain,
9,BEI tetapkan TBS sebagai saham hijau transisi pertama Indonesia,Bursa Efek Indonesia (BEI) menetapkan PT TBS Energi Utama Tbk (TBS) dengan kode saham TOBA sebagai emiten pertama di ...,,non_material,non_material,,,ANTARA Bursa,2026-09-07T03:51:31+00:00,plain,
10,Samuel Sekuritas: Suku bunga dan rupiah jadi kunci pemulihan IHSG,PT Samuel Sekuritas Indonesia melihat bahwa ekspektasi terhadap suku bunga acuan dan nilai tukar rupiah akan menjadi ...,,non_material,non_material,,,ANTARA Bursa,,plain,
11,"IHSG BEI ditutup melemah seiring ""profit taking"" jelang akhir pekan",Indeks Harga Saham Gabungan (IHSG) Bursa Efek Indonesia (BEI) pada Jumat sore ditutup melemah seiring aksi ambil untung ...,,non_material,non_material,,,ANTARA Bursa,,plain,
12,Merger Adhi Karya dan PTPP ditargetkan rampung akhir 2026,PT Adhi Karya (Persero) Tbk (ADHI) bersama PT PP (Persero) Tbk (PTPP) menargetkan proses penggabungan usaha kedua ...,,material,material,,merger,ANTARA Bursa,,keyword_hit,"merger ADHI-PTPP = aksi korporasi besar (emiten di luar watchlist, tetap material)"
13,"RUPO disetujui, Waskita Karya rampungkan restrukturisasi utang","PT Waskita Karya (Persero) Tbk (WSKT) telah menggelar Rapat Umum Pemegang Obligasi (RUPO), dengan para pemegang ...",,material,non_material,,,ANTARA Bursa,,plain,restrukturisasi utang WSKT = event solvency — PRED SALAH (gak kebaca keyword)
14,"IHSG berpotensi variatif seiring ""profit taking"" jelang akhir pekan",Indeks Harga Saham Gabungan (IHSG) Bursa Efek Indonesia (BEI) pada Jumat berpotensi bergerak variatif seiring potensi ...,,non_material,non_material,,,ANTARA Bursa,,plain,
15,"IHSG Jumat dibuka menguat 27,80 poin ke posisi 6.695","Indeks Harga Saham Gabungan (IHSG) Bursa Efek Indonesia (BEI) pada Jumat pagi dibuka menguat 27,80 poin atau 0,42 ...",,non_material,non_material,,,ANTARA Bursa,,plain,
